ddt.unwedding.txt: 离婚
team.load.shopError: 加载战队商城出错
tank.consortia.myconsortia.frame.MyConsortiaAfficheFrame: 您输入的内容中含有无意义字符，公告信息未录入。
tank.crowdfunding.join: 你确定投入：{0}点券参与众筹？
ddt.bagandinfo.buffBuf: 开启
store.view.ShortcutBuyCell.Stone3: 青龙
store.showTips.transfer.dontTransferIII: 您未放入原装备或武器!
team.load.activeError: 加载活跃任务出错
tank.view.common.DeadTipDialog.title: 灵魂参与战斗
ddt.bagandinfo.bead: 合成
store.showTips.transfer.dontTransferIIII: 您未放入目标装备或武器!
tank.calendar.GoodsExchangeView.actTimeText: 活动时间：
tank.manager.PlayerManager.refuse: 拒绝加入
mark.chipProTemplateLoadError: 刻印系统属性数据模板加载失败
team.main.createDate: 创建时间：{0}
tank.view.emailII.WritingView.annex.tip: 请选择需要邮寄的物品
ddt.bagandinfo.beadLock: 锁定/解锁
store.showTips.transfer.dontTransferII: 装备上没有可交换的属性!
tank.bank.dingqiAccount: 定期
tank.manager.RoomManager.type:  暂时没有符合的房间类型!
ddt.manager.AcademyManager.warning: 收徒时等级必须比对方大5级
hundred: 100
ddt.bagandinfo.beadTip: 将比升级槽中宝珠等级低的宝珠转化为经验对槽中的宝珠进行升级。
ddt.tanabata.concentripTip: 兄弟同心：伤害+{0}%，减伤+{1}%
store.showTips.strength.dontStrengthI: 您未放入装备或武器!
team.main.quitTip: 输入"Quit"有误
tank.manager.RoomManager.break: 对不起，断线了请刷新页面，重新登录
team.main.title: 我的战队
dismiss: 赶紧解散
ddt.bagandinfo.beadLockTip: 宝珠锁定后，可以装备，可以升级。但不可以被合成。
itemview.listname: 名称
store.showTips.strength.dontStrengthII: 您未放入强化石!
team.main.buffTip1: 战队Buff（pvp有效）：
战队等级提升会给予成员战队Buff
hours: 小时
tank.manager.RoomManager.false: 对不起，断线了请刷新页面，重新登录！
operate: 操作
ddt.bagandinfo.beadOneKeyTip: 将当前页中所有可以转化的宝珠转换成为升级槽中的宝珠的经验。
store.showTips.strength.dontStrengthIII: 装备强化等级高于9级,未放入神恩符不能强化!
team.main.buffTip2: {0}级：伤害增加{1}%，血量上限提高{2}%
tank.manager.StateManager.save:  保存文件，以便下次不再加载
tank.bank.saveTips: （当前还可存款{0}点券）
ddt.bagandinfo.secondProIconTxt: 二级属性
tank.view.emailII.WritingView.NickName: 不能给自己发邮件
store.showTips.fusion.noEquip: 您未放入装备或道具!
team.main.divisionTip: 段位晋级条件
mark.mark.hammerTemplateLoadError: 刻印系统锤炼模版数据加载失败
tank.manager.TaskManager.complete: 一键完成
ddt.manager.AcademyManager.warningI: 拜师时等级必须比对方小5级
notOpenActive: 暂未开放
ddt.bagandinfo.secondProIconTipsDesc: 二级属性仅在竞技场生效!
day: 天
store.showTips.fusion.notSameStone: 需放入同类型物品
tank.game.BuffTip40: 战斗中{0}增加{1}点
tank.manager.TaskManager.complete.remained: 剩余次数:{0}
ddt.trusteeship.speedUpTipTxt: 正在托管中
tank.bank.getAnyTime: 随存随取，24小时算一日
ddt.bagandinfo.secondProIconTipsConten: <FONT COLOR='#ff2b2b'>暴击</FONT>     +{0}
<FONT COLOR='#c2fd34'>韧性</FONT>     +{1}
<FONT COLOR='#c36dff'>破甲</FONT>     +{2}
<FONT COLOR='#34e8fd'>免伤</FONT>     +{3}
<FONT COLOR='#7f8eff'>必杀</FONT>     +{4}
<FONT COLOR='#34fdaa'>必抗</FONT>     +{5}
<FONT COLOR='#fe4cd2'>暴伤</FONT>     +{6}
<FONT COLOR='#46e84e'>守护</FONT>     +{7}
<FONT COLOR='#fd6d34'>速度</FONT>     +{8}

ddt.trusteeship.speedUpTimeTxt: {0}:{1}
store.showTips.fusion.notSameLevelStone: 请放入同等级的物品
team.main.divisionTip2: 不屈白银：{0}积分
tank.goldHappy.isInRank: 您已经中了其他奖项，不能幸运抽奖！
tank.manager.TaskManager.viptip: VIP1可获得2星任务奖励，VIP6以上可获得3星任务奖励
team.main.divisionTip1: 菜鸟青铜：{0}积分
tank.bank.aliveTip: (活期利息需要存够24小时才算一日利息)
store.showTips.fusion.notEnoughStone: 需放入4份同类型物品
tank.bank.saveTips2: <font color="#ff0000">（已超过最大额度{0}点券存款限制）</font>
tank.manager.TaskManager.completeText:  您是否花费 <FONT COLOR='#f43636'>{0}</FONT> 点券完成任务? 
tank.bank.deadTip: （提取期限未到的存款时，取出部分有消耗）
sevenDouble.game.playerNameTxt1: [{0}]的中级护送车
tank.view.emailII.WritingView.topic: 请填写邮件主题
store.showTips.fusion.nofusonStone: 您未放入熔炼公式!
ddt.beadSystem.tipLocked: 该宝珠已锁定，不能进行合成！
ddt.trusteeship.startTxt: 开始托管
tank.manager.TaskManager.improveText:  您是否要花费 <FONT COLOR='#f43636'>{0}</FONT> 点券提升任务奖励?
ddt.manager.AcademyManager.warningII: 玩家等级必须大于等于8级才可以收入门下
tank.bank.arriveGetTime: 已达取款期限
team.main.divisionTip4: 永恒钻石：{0}积分
ddt.view.vote.title: 问卷调查
ddt.beadSystem.tipNoFeedBead: 将宝珠放入宝珠升级槽才可进行升级！
tank.manager.TaskManager.oneKeyCompleteTimesOver: 您今天的一键完成次数已用完
tank.bank.leftLittleTime: 距离期限不足一天
team.main.divisionTip5: 超凡王者：{0}积分
church.view.weddingRoomList.DivorcePromptFrame.no: 以后再说
ddt.view.vote.loadXMLError: 加载投票信息失败！
ddt.beadSystem.tipNoBead: 没有宝珠可供合成！
ddt.beadSystem.feedBeadPromptInfo: 请输入“YES”进行合成高级宝珠！
tank.manager.TaskManager.GoToConsortia: 点击进入公会
ddt.dailyRecord.content8: <FONT COLOR='#f6dc8f'><B>{0}</B></FONT>.获得成就:<FONT COLOR='#ffd633'><B>{1}</B></FONT>！<br/>
tank.bank.leftManyTime: 距离期限还有 <font color='#ffe221'>{0}</font> 天
team.main.captainTransferTips: 请选择要转移的玩家
ddt.view.vote.choseOne1: 请至少选择一个答案
tank.bank.noSaveMoneyInput: 请输入存款金额
team.main.divisionTip3: 无畏黄金：{0}积分
tank.manager.TaskManager.buySpinel: 购买神秘晶石
tank.bank.noSaveMoney: 您还未存款，请先存款！
ddt.beadSystem.tipHoleNotSelected: 请选中要开的孔，再点击开孔！
tank.view.emailII.WritingView.contentLength: 您输入内容不得超过300字
ddt.view.vote.choseOne2: 您还有未评价的选项哦。
ddt.beadSystem.MaxHoleLevel: 5
ddt.trusteeship.cancelTxt: 取消托管
tank.manager.TaskManager.DownloadClient: 下载登录器
ddt.manager.AcademyManager.warningIII: 徒弟必须小于等于40级
tank.bank.Interest: 预计收益:{0}绑定点券
team.rank.title: 战队排行
ddt.beadSystem.MaxHoleLevelText: 该孔已经到最高等级！
ddt.view.vote.choseOne3: 请输入您的答案再提交。
tank.calendar.GoodsExchangeView.haveGoodsExplainText: 已有物品：
tank.manager.TaskManager.VipDescTxt: VIP6可获得3星奖励
tank.bank.moneyNum: 存入{0}点券
team.rank.score: 战队积分
ddt.beadSystem.tipFeedHole: 将宝珠放入该处升级
ddt.view.vote.defaultTxt: 请输入您的答案
team.rank.name: 战队名称
team.load.rankError: 加载战队排行榜出错
tank.request.LoadServerListAction.server:  服务器维护中，请稍后再试!
tank.bank.getNOLessMoney: 取款金额不能低于{}点券
escort.rankView.rankTitleTxt: 排名
ddt.beadSystem.tipLvOpenHole: {0}级打开
room.roomRightPropView.bagFull: 每次战斗只能携带3个贴身道具
tank.bank.noGetMoney: 请输入取款金额
mark.transferTemplateLoadError: 刻印系统炼化模版数据加载失败
ddt.UseGoodsFrame.title: 打 开
tank.bank.saveSuccess: 存款成功！
team.rank.segment: 段位
tank.view.emailII.WritingView.annex: 付费邮件必须添加附件
room.roomRightPropView.uppropTip: 单击可将技能去掉
team.rank.teamHonor: 第{0}赛季第{1}名
mark.pro32: 防御
tank.UseGoodsFrame.number: 请输入使用数量。
ddt.manager.AcademyManager.warningIIII: 只有等级大于等于50级才可以收徒
tank.bank.getSuccess: 取款成功！
ddt.trusteeship.startTipTxt: 托管时间为{0}分钟，确认消耗{1}精力值开启托管？
ddt.beadSystem.tipDonotAdaptLevel: 宝珠等级和孔等级不匹配
room.roomRightPropView.downpropTip: 点击图标可携带技能进入战斗
tank.team.teamNumber: 战队成员 [{0}/{1}]
ddt.beadSystem.tipNoAccessEquipBead: 该孔没有开放！
tank.view.bagII.BreakGoodsView.split:  拆分
tank.bank.regular: 定期: {0}月({1}%) 
tank.view.GoldInadequate: 金币不足，是否购买金币箱？
ddt.vip.vipIcon.otherVipTip: VIP：{0}级
tank.team.noTeam: 未加入过战队
tank.view.bagII.BreakGoodsView.num:  数量：
ddt.beadSystem.tipNoDrillSelected: 没有选择钻头。
tank.bank.monthNum: {0}月
ddt.beadSystem.tipCannotSell: 宝珠不可出售！
ddt.vip.vipIcon.clickOpen: 点击此处开通VIP
tank.bank.alert: 本次存款需要暂时扣除{0}点券
mark.pro31: 攻击
tank.view.bagII.BreakGoodsView.number:  拆分数量:
tank.bank.checkingAccount: 活期: {0}%
tank.team.noTeamRank: 当前无战队上榜
tank.view.emailII.WritingView.money_txt: 请输入点券金额！
ddt.vip.vipIcon.notVipCoin: VIP币不足，无法开启！
tank.team.noServerTeamRank: 本区无战队上榜
mark.pro33: 敏捷
tank.view.bagII.BreakGoodsView.input: 请输入拆分数量
ddt.manager.AcademyManager.warning6: 8级以上才可以拜师
tank.bank.getalert: 本次取款{0}点券
获得利息{1}绑定点券
ddt.trusteeship.cancelTipTxt: 确认取消托管？
ddt.beadSystem.feedBeadAlertInfo: 确认将<FONT COLOR='#FA46AF'> {0} </FONT>转换为经验？
ddt.vip.vipIcon.notVip: 你还没成为VIP，不能进行抽奖！
consortion.repairPlayerOrRobot: 请选择修复公会设施的方式
ddt.beadSystem.chooseDrill: 请选择
tank.view.bagII.BreakGoodsView.right:  数量不正确
tank.bank.careful: 注意
ddt.beadSystem.feedBeadAlertTip: 请在下方输入[     ]来确认操作。
ddt.vip.vipIcon.reduceVipExp: VIP过期无法享受特权
tank.calendar.GoodsExchangeView.changeGoodsExplainText: 选择兑换物品：
tank.goldHappy.joinSuccess: 投注成功！
tank.view.bagII.GoodsTipPanel.setPurpleHtmlTxt: <FONT COLOR='#FF9933'>{0}</FONT><FONT COLOR='#E82EFE'>{1}</FONT><FONT COLOR='#FF9933'>{2}</FONT>
tank.bank.saveMoreMoney: 存款金额不能低于{0}点券
sevenDouble.game.playerNameTxt2: [{0}]的高级护送车
ddt.beadSystem.feedBeadAlertTipYES: YES
ddt.vip.vipIcon.upGradDays: 还需{0}点经验，升到{1}级
consortion.repairRobot: 机器人修复
tank.view.bagII.GoodsTipPanel.fire: 攻击
consortion.repairPlayer: 自己修复
tank.bank.saveBeishu: 存入金额必须为{0}的倍数
tank.view.emailII.LoadSendInfoError: 加载已发邮件信息失败！
ddt.vip.vipFrame.ConfirmTitle: 确认开通
consortion.repairRobotCost: 将消耗             
mark.pro34: 幸运
tank.view.bagII.GoodsTipPanel.recovery: 防御
ddt.manager.AcademyManager.warning7: 对方等级大于40级，不可以收他为徒了！
tank.bank.getBeishu: 取款金额必须为{0}的倍数
ddt.trusteeship.startNotEnough: 当前需消耗{0}精力值，托管失败
ddt.beadSystem.FeedBeadConfirm: 确定合成？
ddt.vip.vipFrame.openVipBtn: 立即开通
consortion.repairRobotCost1: 点券， 使用
ddt.beadSystem.feedBeadGetExp: 你可得到<FONT COLOR='#FF0000'> {0} </FONT>宝珠经验
tank.view.bagII.GoodsTipPanel.agility: 敏捷
tank.bank.getMoneyAlert: 取款金额大于存款金额
church.weddingRoom.WeddingRoomControler.addRoom: 创建房间失败
ddt.vip.helpFrame.title: VIP专享特权
tank.calendar.GoodsExchangeView.changeGoodsCountText: 输入兑换数量：
tank.view.bagII.GoodsTipPanel.lucky: 幸运
ddt.dailyRecord.content9: <FONT COLOR='#f6dc8f'><B>{0}</B></FONT>.升级到<FONT COLOR='#ffd633'><B>{1}</B></FONT>级！<br/>
tank.bank.selectedlilv: 请选择利率
consortion.repairRobotCost2: 个机器人
ddt.beadSystem.tipErrorDrills: 钻头跟孔等级不符，请选择合适钻头！
ddt.vip.vipViewFrame.title: VIP特权
consortion.repairOK: 确 定
ddt.beadSystem.OpenHoleText: 开孔
tank.view.bagII.GoodsTipPanel.magicAttack: 魔攻
tank.bank.interestRate: 利率{0}%
tank.view.emailII.LoadMailAllInfoError: 加载所有邮件信息失败！
ddt.vip.vipFrameHead.text: 1.VIP将直接升为6级
2.获得VIP有效期1年
consortion.repairNO: 取 消
mark.pro37: 血量
tank.view.bagII.GoodsTipPanel.magicDefence: 魔抗
ddt.manager.AcademyManager.warning8: 只有等级大于8级且小于等于40级才可以拜师！
tank.bank.saveMultiple: ({0}起)
ddt.trusteeship.speedUpCostTipTxt: 确认消耗{0}点券立即完成托管？
ddt.beadSystem.getBeadViewTitle: 点击下面珠台获得宝珠！
ddt.vip.vipFrameHead.text1: 3.获得1000绑定点券和1000块强化石
4.各种漂亮的衣服和首饰。
equipGhost.ratioTxt: 成功率：{0}%
ddt.beadSystem.underBeadFeedCellTxt: 宝珠升级槽
tank.view.bagII.GoodsTipPanel.gp: 经验
tank.bank.notOpen: 等级不足，{0}级开放银行功能
ddt.beadSystem.judgeFeedLevel: 合成的宝珠已满级，不可被合成。
ddt.vip.vipFrameHead.VipPrivilegeTxt: VIP专享特权
tank.calendar.ActivityDetail.TimeFieldTitle: 活动时间：
tank.view.bagII.GoodsTipPanel.maxGP: 经验上限
tips.open: {0}级开启
equipGhost.ratioLowTxt: 成功率：较低
ddt.beadSystem.mostHightLevel: 宝珠已达最高等级，不可再升级！
ddt.vip.vipFrame.title: VIP充值
equipGhost.material1: 您未放入装备或武器!
tank.view.bagII.GoodsTipPanel.level: 等级上限
ddt.HallStateView.expValue: 经验加成{0}%，等级低于本
区经验成长标准时自动获得
tank.view.emailII.WritingView.tip: 提示
ddt.vip.vipView.oneMonth: 1个月
tank.game.BuffTip41: 战斗中经验x{0}倍
mark.pro36: 伤害
tank.view.bagII.GoodsTipPanel.need: 所需等级
ddt.manager.AcademyManager.warning9: 17~19级玩家不可以登记拜师哦！
ddt.HallStateView.shop: 可以购买各种物品，把
自己好好装饰一番
ddt.trusteeship.buySpiritCostTipTxt: 确认消耗{0}点券，增加{1}精力值。
ddt.beadSystem.beadCanntDestory: 宝珠不可丢弃！
ddt.vip.vipView.threeMonth: 3个月
equipGhost.upLevel: 该装备已经启灵到最高级了!
ddt.beadSystem.lvOneCanntUpgrade: 一级宝珠不能升级！
tank.view.bagII.GoodsTipPanel.man: 所需性别:男
equipGhost.material2: 您未放入启灵珠!
ddt.consortion.AverageText: 发平均红包
ddt.bagAndInfo.sell.CanNotSell: 不能出售该物品
ddt.vip.vipView.sixMonth: 6个月
tank.calendar.ActivityDetail.AwardFieldTitle: 活动奖励：
tank.view.bagII.GoodsTipPanel.woman: 所需性别:女
ddt.HallStateView.conBoss: 公会BOSS
equipGhost.tip: <font color="#FFEA00">(+{0})</font>
ddt.beadSystem.requestBeadNames: 梵克雅宝,宝格丽,蒂芬妮,卡地亚
ddt.vip.vipView.oneYear: 1年
goodTip.propertyStr: <font color="#FF9933">{0}</font>
tank.view.bagII.GoodsTipPanel.may: 可强化合成
ddt.HallStateView.dungeon: 进入副本冒险，挑
战怪物获得宝物
tank.view.emailII.WritingView.isEdit: 是否取消当前邮件编辑?
ddt.vip.vipView.twoYear: 2年
battleskill.skillUse.disableTxt: 禁用
mark.pro35: 护甲
tank.view.bagII.GoodsTipPanel.compose: 可合成
ddt.manager.AcademyManager.warning10: 你现在正在房间中,是否进入师徒圣殿？
ddt.HallStateView.church: 和心爱的TA许下承
诺吧。
ddt.trusteeship.buySpiritBtnTipTxt: 弹王盟约专属
ddt.beadSystem.beadBuy: 购买{0}
ddt.vip.vipView.threeYear: 3年
ddt.dungeonRoom.specialBossBtn.tipText: 使用道具或花费点券可获得开启boss战机会
ddt.beadSystem.beadName: 攻击lv5,攻击lv7,攻击lv9,伤害lv11
tank.view.bagII.GoodsTipPanel.strong: 可强化
ddt.HallStateView.consortion: 加入公会，联合亲
密战友，一起战斗！
ddt.beadSystem.buyOpenTxt: 赠送开启
ddt.vip.vipView.other: 其他
tank.calendar.ActivityDetail.ContentFieldTitle: 活动内容：
tank.ddthonor.honorItemTitle: Vip等级,人物等级,战力,激活图鉴(满)数量,修炼累积等级,金卡数量,图腾等级,5级宝珠孔数量,背包卓越魔石数量,神庙等级,背包精良刻印数量,进3装备数量,冒险家等级,战队等级,情义等级,护身符等级,累积附魔等级,战魂累积等级,打造等级,宠物进化等级,启灵累积等级,5星宠数量,宠物形态数量,坐骑等级,坐骑图鉴数量,铸金成功次数,参战宠物等级,副手进化等级,激活冒险家手册数量,弹王等级,守护等级,满级坐骑技能数量,宠物天赋等级,穿戴精良纹章,拥有5星圣灵,圣灵等级
tank.view.bagII.GoodsTipPanel.use: 永久有效
ddt.HallStateView.store: 提高装备属性，熔
炼道具物品
sevenDouble.rankView.rankTitleTxt: 排名
ddt.beadSystem.noBeadToFeed: 没有可合成的宝珠！
ddt.vip.vipView.months: 个月
ddt.dungeonRoom.noTrialMapNum.tipText: 今日此副本通关次数已用完，但无法进入副本，是否确认开启BOSS战？
tank.view.bagII.GoodsTipPanel.less: 还剩 
ddt.dungeonRoom.trialMap.tipText: 剩余通关次数
第1关 <font color="#FF0000">{0}</font>/1次
第2关 <font color="#FF0000">{1}</font>/1次
第3关 <font color="#FF0000">{2}</font>/1次
第4关 <font color="#FF0000">{3}</font>/1次
ddt.HallStateView.auction: 弹友进行物品交
易的场所
tank.view.im.IMFriendList.online: 在线
ddt.vip.vipView.payMoneyShow: 您应支付<FONT COLOR='#ff3f3f'>{0}</FONT>点券(<FONT COLOR='#ff3f3f'>1</FONT>元 = <FONT COLOR='#ff3f3f'>10</FONT>点券)
ddt.dungeonRoom.noTrialMapNumAndProps.tipText: 没有相应道具，今日此副本通关次数已用完，
可使用 {0} 点券开启BOSS战，但无法进入副本，是否确认开启？ 
mark.pro101: 魔攻
tank.view.bagII.GoodsTipPanel.time: 有效时间 
ddt.room.roomStart.academy.warning1: 只有师徒身份才能进入师徒副本!
ddt.HallStateView.toffist: 厉害的弹友会榜上
有名喔！
ddt.trusteeship.cannotStartTipTxt: 当前有任务正在托管或未领取奖励
ddt.vip.vipView.checkName: 两次输入的角色名称不一致
ddt.beadSystem.useBindBead: 该操作将会使您的宝珠成为<br>绑定状态，是否继续操作？
ddt.beadSystem.noEnoughDrills: 没有足够的钻头可供开孔！
ddt.dungeonRoom.noWatchBattle.tipText: 试炼副本无法开启观战模式
tank.view.bagII.GoodsTipPanel.over: 已过期
ddt.HallStateView.labyrinth: 探索秘境，寻找遗
失的宝藏。
church.weddingRoom.WeddingRoomControler.showCreateFrame: 您还未结婚，不可举行婚礼
ddt.vip.vipIcon.upGradFull: 您已是最高级VIP
tank.calendar.award.NagivCount: 签到{0}天
tank.view.bagII.GoodsTipPanel.drillnote: 开孔钻头{0}级
ddt.dailyRecord.content10: <FONT COLOR='#f6dc8f'><B>{0}</B></FONT>.共经历<FONT COLOR='#ffd633'><B>{1}</B></FONT>场PVP战斗！<br/>
ddt.HallStateView.roomList: 竞技、挑战、公会战，
各种比赛都在这里举行喔！
godCardRaiseDivineView.inputNum.selectBtnMsg: 连续抽卡
ddt.beadSystem.beadDisc: 宝珠说明
ddt.vip.vipView.noMoney: 您的点券不足,请充值
godCardRaiseDivineView.inputTextMsg: 请输入次数
ddt.beadSystem.beadToBeadBag: 全部宝珠已经放到宝珠背包，请去宝珠背包查看！
tank.view.bagII.GoodsTipPanel.bangding: 绑定类型：使用绑定
ddt.HallStateView.home: 经营你的个人农场，
制造食物喂养宠物。
tank.view.im.IMFriendList.addFriend: 添加好友
ddt.vip.vipView.upRule: 成长规则
godCardRaiseDivineView.continuousMsg1: 本次将使用 <font color="#FF0000">{0}</font> 点券，购买神秘卡盒X <font color="#FF0000">{1}</font> ，同时占卜 <font color="#FF0000">{2}</font> 次
mark.pro102: 魔抗
tank.view.bagII.GoodsTipPanel.zhuangbei: 绑定类型：装备绑定
ddt.room.roomStart.academy.warning2: 队伍成员必须要有一个师傅!
ddt.HallStateView.ringStation: 竞技之王的舞台，谁
是最后的擂主。
ddt.trusteeship.refreshTrusteeshipStateTxt: 正在刷新托管状态，请重试
ddt.beadSystem.limitTimes: 剩余次数:{0}
ddt.vip.vipView.help: VIP说明
godCardRaiseDivineView.continuousMsg2: 本次将使用 <font color="#FF0000">{0}</font> 点券，购买神秘卡盒X <font color="#FF0000">{1}</font> ，同时进行 <font color="#FF0000">{2}</font> 次5连占
ddt.beadSystem.confirmSortBead: 是否确认整理宝珠？
tank.view.hall.gradeBox.needLevel: 宝箱需要{0}级开启
ddt.HallStateView.cryptBoss: 见证实力的险恶之地。
ddt.beadSystem.canGetBead: 可领取
ddt.vip.vipView.confirmforSelf: 您确认要开通{0}的VIP会员？<br/><FONT COLOR='#e30000'>(本次开通需扣除您{1}点券)</FONT>
tank.calendar.LuckyNumBar.PayNote: 您预测明天的幸运数字是：{0}<br>激活将扣除9.9点券，是否继续？
tank.view.common.AddPricePanel.xu: 续 费
ddt.HallStateView.attest: 美女标识
godCardRaiseDivineView.continuous.notInputNumMsg: 请在输入框中输入次数
ddt.beadSystem.cantClickBtn: 获取次数不足
ddt.vip.vipView.useVipCoupons.tipMsg: <FONT COLOR='#e30000' font-size="12">使用折扣券后为节省{0}点券</FONT>
godCardRaiseDivineView.continuous.noMoneyMsg: 点劵（绑定点劵）不足
tank.view.common.AddPricePanel.pay:  确认支付?
ddt.HallStateView.poster: 悬赏公告牌。完成任务，领取丰厚奖励。
tank.view.im.IMFriendItem.delete: 删除
ddt.vip.vipView.confirmforOther: 您确认要为{0}开通{1}的会员？<br/><FONT COLOR='#e30000'>(本次开通需扣除您{2}点券)</FONT>
tank.game.BuffTip42: 战斗中功勋x{0}倍
mark.pro1: 暴击
tank.game.ToolStripView.friend: 社交(F)
ddt.room.roomStart.academy.warning3: 队伍成员只能有一个师傅!
ddt.feedPet: 喂养宠物
ddt.trusteeship.maxSpiritCannotBuyTxt: 精力值已达上限，请使用后再购买
game.objects.TransmissionGate.tipsII: 进入下一关
ddt.vip.vipView.finish: 请完善信息
equipGhost.stone: 启灵珠
game.objects.TransmissionGate.tips: 出口
tank.game.ToolStripView.recentContact: 最近联系人
equipGhost.luck: 启灵符
ddt.feedPet.tip: 是否立即喂养宠物？
tank.command.fightLibCommands.script.HighGap.NormalHighGap.command1: 本节课我们进行高差打法的中级训练。
ddt.vip.vipView.expired: 您的VIP会员还有{0}天到期,请及时续费
tank.calendar.LuckyNumBar.ChooseNote: 预测明天的幸运数字，如果猜对可获得一天的经验、功勋翻倍，以及随机属性奖励。 
tank.game.IM.custom: 添加自定义组
newChickenBox.canUseEye: 您可以使用偷看功能
ddt.feedPet.notEnough: 宠物粮不足！
teamBattle.roomName: 战队赛
newChickenBox.useMoneyAlert: 本次刷新扣取 <FONT COLOR='#FF0000'>{0}</FONT> 点券
ddt.vip.vipView.expiredToday: 您的VIP会员还有{0}小时到期,请及时续费
teamBattle.seasonCount: 赛季:
tank.game.ToolStripView.face: 表情
ddt.feedPet.success: 喂养成功，当前快乐度为{0}
ddt.room.roomStart.academy.warning4: 最少需要1名师傅和1名徒弟!
ddt.vip.vipView.expiredHour: 您的VIP会员有效期不足1小时,请及时续费
teamBattle.room.alert: 您已经在房间了，请先退出房间
mark.pro3: 破甲
tank.view.im.IMFriendItem.deleteFriend: 确定要删除该好友？
newChickenBox.useMoneyMsg: 本次开启消耗{0}点卷
ddt.Dayactivity.addSpeed: 快速完成每日活跃需要消耗{0}点券.
ddt.trusteeship.maxSpiritCannotUseTxt: 精力值已达上限，不能使用精力药水
newChickenBox.freeFlush: 免费刷新
ddt.vip.vipView.expiredTrue: VIP过期无法享受特权
teamBattle.room.peopleAlert: 战队赛至少2个人参赛
tank.view.im.IMFriendItem.callback: 召回较长时间未登录的老玩家
ddt.Dayactivity.onlineReward.valueQuan: 价值约{0}点券
church.weddingRoom.WeddingRoomControler.leaveRoom: 是否确定离开当前婚礼房间
ddt.vip.vipView.RenewalNow: 马上续费!
tank.calendar.LuckyNumBar.LuckyNumLabel: 幸运数字
tank.ddthonor.loadgoodsUpgradeError: 加载弹王荣耀物品升级表失败
tank.room.RoomIIPlayerItem.addFriend: 加为好友
newChickenBox.flushText: 刷新
ddt.Dayactivity.onlineReward.canGet: 可抽奖
sevenDouble.rankView.nameTitleTxt: 昵称
newChickenBox.flushTimecut: {0}分钟后免费刷新
ddt.vip.vipView.EquipRenewal: 装备续费
teamBattle.load.segmentError: 加载战队段位赛数据错误
tank.room.RoomIIPlayerItem.changeBorden: 切换边框
teamBattle.load.sessionError: 加载战队赛赛季数据错误
ddt.Dayactivity.onlineReward.getCon: 在线{0}分钟可领取
ddt.manager.AcademyManager.WarningApprenticeState: 你已经有师傅了！
ddt.vip.vipView.checkOtherInput24: 输入的月数不能大于24
fashion.invalidType: 无效的时装评选类型
mark.pro7: 暴伤
tank.room.borden: 道具边框
newChickenBox.newTurnStart: 寻宝之旅开始了
ddtKingLetter.notEnough: 所需文字不足，无法兑换
store.view.exalt.StoreExaltProgressBar.title: 进阶幸运值
newChickenBox.eyeNotUseEnable: 透视使用达到最大次数,不能再使用
ddt.vip.vipView.checkOtherInput0: 输入的月数不能为0
fashion.noRank: 我的排名：未上榜
tank.room.sellRommBorden: 确定出售此道具？
价格：{0}金币
ddtKingLetter.detail: 可通过竞技战或者活动任务收集各种字
civil.frame.CivilRegisterFrame.married: 已婚
ddt.vip.vipView.vipLevel.explain: <b>一、弹弹堂VIP会员：</b><br/>    "弹弹堂VIP会员"的推出，将为VIP玩家提供更贴心的服务及尊荣特<br/>权，等级越高，特权越强。<br/><br/><b>二、弹弹堂VIP等级成长体系规则：</b><br/>    1、VIP等级成长体系目前包含9个阶段，即VIP1- VIP9，开通VIP一<br/>个月的有效期为31天。<br/>    2、	当玩家成功开通VIP成为会员以后，VIP图标被点亮，VIP成长<br/>值以10点/天增长，累计达到一定数额，VIP等级才会逐步上升，上限为<br/>VIP9。<br/>    3、	当玩家为非VIP会员时，VIP图标熄灭，玩家将不再享受VIP特<br/>权，且VIP成长值以5点/天下降，VIP等级也将随之下降，下限为VIP1。<br/><br/><b>三、弹弹堂VIP成长值组成：</b><br/>    成长值由开通/续费成长值与非VIP成长值两部分组成：<br/>              <FONT COLOR='#FF0000'>成长值=开通/续费成长值+非VIP成长值</FONT>
tank.calendar.LuckyNumBar.MyNumLabel: 我的数字
tank.room.RoomIIPlayerItem.view: 查看
ddt.dailyRecord.content11: <FONT COLOR='#f6dc8f'><B>{0}</B></FONT>.获得经验<FONT COLOR='#ffd633'><B>{1}</B></FONT>！<br/>
caddy.badLuck.rankingText。text: 排  名
fashion.alert.girlTxt: 确定以当前角色装扮报名参加美女评选赛
newChickenBox.useEyeEnable: 此牌已使用过透视，不可重复使用
ddt.vip.loadVip.error: 加载vip性息失败！
ddt.manager.AcademyManager.WarningMasterFullState: 只有徒弟数小于3人才能收徒，先去解除师徒关系吧！
newChickenBox.useEyeCost: 扣费{0}点券，可以偷看一张牌
tank.room.RoomIIPlayerItem.exitRoom: 踢出房间
caddy.badLuck.nameText.text: 名  称
fashion.alert.curTxt: 将以前装扮参与比赛
tank.game.GameViewBase.HintTitle: 温馨提示
store.view.exalt.StoreExaltProgressBar.explain: 幸运值越高下次成功几率越高
幸运值每天24:00清0
im.IMView.myAcademyBtnTips: 我的社交
mark.pro9: 速度
tank.view.bagII.BreakGoodsView.wrong2: 请输入数量
newChickenBox.flushTipData: 点击刷新按钮可重新洗牌
